Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Make.and.Model,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.Occupants,Aircraft.Size,Destroyed.Flag
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,,,,,PIPER PA-28-140,Fatal(1),DESTROYED,Airplane,N9600W,PIPER,PA-28-140,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,1.0,1.0,0.0,0.0,IMC,CRUISE,Probable Cause,02-05-2011,2.0,Small,1
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,,,,,PIPER PA-18-150,Fatal(1),DESTROYED,Airplane,N4025,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 137: Agricultural,UNK,AERIAL APPLICATION,,1.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,15-12-2009,1.0,Small,1
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,,,PSK,NEW RIVER VALLEY,CESSNA 182A,Fatal(1),DESTROYED,Airplane,N4963D,CESSNA,182A,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,1.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,17-10-2016,1.0,Small,1
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,,,,,CESSNA 182Q,Non-Fatal,DESTROYED,Airplane,N759WB,CESSNA,182Q,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,1.0,1.0,0.0,VMC,MANEUVERING,Probable Cause,12-01-2016,2.0,Small,1
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,,,BLM,BELMAR MONMOUTH CO.,CESSNA 152,Fatal(1),DESTROYED,Airplane,N4956B,CESSNA,152,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,1.0,1.0,4.0,0.0,VMC,TAKEOFF,Probable Cause,08-04-2013,6.0,Small,1
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,,,,WEST WIND SPORT PARACHUTE,CESSNA 208,Fatal(17),DESTROYED,Airplane,N551CC,CESSNA,208,No,1.0,TURBOPROP,Part 91: General Aviation,,SKYDIVING,,17.0,0.0,0.0,0.0,VMC,TAKEOFF,Probable Cause,17-10-2016,17.0,Small,1
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,,,,,CESSNA 152,Fatal(2),DESTROYED,Airplane,N6161M,CESSNA,152,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,2.0,0.0,1.0,0.0,VMC,MANEUVERING,Probable Cause,17-10-2016,3.0,Small,1
20001213X26459,Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,,,CRW,YEAGER,PIPER PA-28-180,Non-Fatal,SUBSTANTIAL,Airplane,N4873T,PIPER,PA-28-180,No,1.0,RECIPROCATING,Part 91: General Aviation,,FERRY,,0.0,0.0,1.0,0.0,VMC,CRUISE,Probable Cause,02-05-2011,1.0,Small,0
20001213X27392,Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,,,,,CESSNA 310R,Fatal(2),DESTROYED,Airplane,N5121J,CESSNA,310R,No,2.0,RECIPROCATING,Part 91: General Aviation,,POSITIONING,,2.0,0.0,0.0,0.0,VMC,APPROACH,Probable Cause,04-09-2012,2.0,Small,1
20001213X28948,Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,BEECH A36,Fatal(7),DESTROYED,Airplane,N2063V,BEECH,A36,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,7.0,0.0,0.0,0.0,VMC,APPROACH,Probable Cause,17-10-2016,7.0,Small,1
20001213X28746,Accident,BFO89LA066,1989-07-30,"WILLIAMSBURG, VA",United States,,,JGG,WILLIAMSBURG,PIPER PA-32-300,Non-Fatal,SUBSTANTIAL,Airplane,N4022R,PIPER,PA-32-300,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,4.0,VMC,LANDING,Probable Cause,24-04-2013,4.0,Small,0
20001213X29904,Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,,,LUK,LUNKEN FIELD,CESSNA 182,Fatal(1),SUBSTANTIAL,Airplane,N8940T,CESSNA,182,No,1.0,RECIPROCATING,Part 91: General Aviation,,UNKNOWN,,1.0,0.0,1.0,1.0,VMC,MANEUVERING,Probable Cause,11-12-2012,3.0,Small,0
20001212X22480,Accident,NYC90FA061,1990-01-29,"WILLISTON, VT",United States,,,BTV,BURLINGTON,CESSNA 208B,Fatal(2),DESTROYED,Airplane,N4688B,CESSNA,208B,No,1.0,TURBOPROP,Part 135: Air Taxi & Commuter,NSCH,UNKNOWN,"Business Air, Inc.",2.0,0.0,0.0,0.0,IMC,TAKEOFF,Probable Cause,01-02-2016,2.0,Small,1
20001212X22619,Accident,NYC90FA063,1990-02-01,"FAIRFIELD, CT",United States,,,,,PIPER PA-28-181,Fatal(1),DESTROYED,Airplane,N83253,PIPER,PA-28-181,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,1.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,01-02-2016,1.0,Small,1
20001212X22649,Accident,ANC90LA043,1990-03-16,"SULATNA CROSS, AK",United States,,,,,CESSNA 170B,Non-Fatal,SUBSTANTIAL,Airplane,N4659C,CESSNA,170B,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,2.0,VMC,TAKEOFF,Probable Cause,01-07-2009,2.0,Small,0
20001212X22846,Accident,ATL90FA095B,1990-04-09,"GADSDEN, AL",United States,,,,,CESSNA 172,Fatal(2),DESTROYED,Airplane,N99501,CESSNA,172,No,1.0,RECIPROCATING,Part 91: General Aviation,,UNKNOWN,,2.0,0.0,0.0,7.0,VMC,CRUISE,Probable Cause,17-11-2009,9.0,Small,1
20001212X22992,Accident,MKC90LA087,1990-04-17,"SALINA, KS",United States,,,SLN,SALINA,CESSNA 150,Non-Fatal,SUBSTANTIAL,Airplane,N714EB,CESSNA,150,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,0.0,0.0,0.0,2.0,VMC,APPROACH,Probable Cause,02-05-2011,2.0,Small,0
20001212X23574,Accident,ANC90LA112,1990-07-05,"COLDFOOT, AK",United States,,,NONE,COLDFOOT STRIP,PIPER PA-28-180,Fatal(1),DESTROYED,Airplane,N6374J,PIPER,PA-28-180,No,1.0,RECIPROCATING,Part 91: General Aviation,,BUSINESS,,1.0,1.0,0.0,0.0,VMC,DESCENT,Probable Cause,19-03-2009,2.0,Small,1
20001212X23773,Accident,MKC90LA146,1990-07-12,"WICHITA, KS",United States,,,,,PIPER PA-28-140,Non-Fatal,SUBSTANTIAL,Airplane,N7295F,PIPER,PA-28-140,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,2.0,0.0,VMC,DESCENT,Probable Cause,02-05-2011,2.0,Small,0
20001212X24345,Accident,NYC90FA220,1990-09-14,"PLAIN CITY, OH",United States,,,,,CESSNA 152,Fatal(2),DESTROYED,Airplane,N95644,CESSNA,152,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,2.0,0.0,0.0,0.0,IMC,TAKEOFF,Probable Cause,01-02-2016,2.0,Small,1
20001212X16418,Accident,CHI91FA088B,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,CESSNA 182,Fatal(7),DESTROYED,Airplane,N6384A,CESSNA,182,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,7.0,0.0,0.0,0.0,VMC,CLIMB,Probable Cause,17-10-2016,7.0,Small,1
20001212X16418,Accident,CHI91FA088A,1991-02-03,"OSCEOLA, WI",United States,,,OEO,L.O.SIMENSTAD MUNI,PIPER PA-28-140,Fatal(7),DESTROYED,Airplane,N4676R,PIPER,PA-28-140,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,7.0,0.0,0.0,0.0,VMC,APPROACH,Probable Cause,17-10-2016,7.0,Small,1
20001212X16415,Accident,CHI91DCJ01,1991-02-24,"WESTERN, NE",United States,,,,,CESSNA 172N,Fatal(1),DESTROYED,Airplane,N738LL,CESSNA,172N,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,1.0,0.0,0.0,0.0,IMC,MANEUVERING,Probable Cause,17-08-2012,1.0,Small,1
20001212X17597,Accident,LAX91LA306,1991-07-11,"WAILUA, HI",United States,,,,,CESSNA 182,Fatal(1),SUBSTANTIAL,Airplane,N9022T,CESSNA,182,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,1.0,0.0,0.0,4.0,VMC,CRUISE,Probable Cause,17-10-2016,5.0,Small,0
20001212X17738,Accident,ANC91LA117,1991-08-07,"SEWARD, AK",United States,,,,,BELLANCA 7GCBC,Non-Fatal,SUBSTANTIAL,Airplane,N8684V,BELLANCA,7GCBC,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,1.0,1.0,VMC,MANEUVERING,Probable Cause,19-03-2009,2.0,Small,0
20001212X17742,Accident,ANC91LA121,1991-08-09,"ANCHORAGE, AK",United States,,,LHD,LAKE HOOD SEAPLANE,PIPER PA-18,Non-Fatal,SUBSTANTIAL,Airplane,N2370H,PIPER,PA-18,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,1.0,VMC,TAKEOFF,Probable Cause,19-03-2009,1.0,Small,0
20001212X18014,Accident,ANC91LA155,1991-09-19,"EAGLE, AK",United States,,,EAA,EAGLE,PIPER PA-18-150,Non-Fatal,SUBSTANTIAL,Airplane,N4894A,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 135: Air Taxi & Commuter,NSCH,NAN,Tatonduk Outfitters Ltd,0.0,0.0,0.0,1.0,VMC,TAKEOFF,Probable Cause,09-12-2011,1.0,Small,0
20001212X18289,Accident,FTW92FA014,1991-10-27,"MARBLE FALLS, TX",United States,,,,,BEECH A36,Fatal(2),DESTROYED,Airplane,N7246H,BEECH,A36,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,2.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,25-01-2011,2.0,Small,1
20001212X18454,Accident,FTW92LA028,1991-11-29,"LAS CRUCES, NM",United States,,,LRU,LAS CRUCES,CESSNA 120,Non-Fatal,SUBSTANTIAL,Airplane,N1906N,CESSNA,120,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,1.0,VMC,LANDING,Probable Cause,19-12-2013,1.0,Small,0
20001211X16223,Accident,NYC93LA041,1992-12-13,"LONDONDERRY, NH",United States,,,,,CESSNA T210,Non-Fatal,SUBSTANTIAL,Airplane,N210PQ,CESSNA,T210,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,1.0,0.0,VMC,APPROACH,Probable Cause,02-05-2011,1.0,Small,0
20001211X12054,Accident,ANC93FA054,1993-04-23,"KASHWITNA, AK",United States,,,,,PIPER PA-18-150,Fatal(2),DESTROYED,Airplane,N3741Z,PIPER,PA-18-150,No,1.0,RECIPROCATING,Part 91: General Aviation,,BUSINESS,,2.0,0.0,0.0,0.0,VMC,MANEUVERING,Probable Cause,17-08-2012,2.0,Small,1
20001211X13214,Accident,NYC93FA154,1993-08-14,"EAST MORICHES, NY",United States,,,1N2,SPADARO,CESSNA 182A,Fatal(1),DESTROYED,Airplane,N5010D,CESSNA,182A,No,1.0,RECIPROCATING,Part 91: General Aviation,,SKYDIVING,,1.0,4.0,0.0,0.0,VMC,TAKEOFF,Probable Cause,17-10-2016,5.0,Small,1
20001211X13354,Accident,BFO93LA184,1993-09-25,"EMPORIA, VA",United States,,,,,CESSNA 172,Non-Fatal,SUBSTANTIAL,Airplane,N9841L,CESSNA,172,No,1.0,RECIPROCATING,Part 91: General Aviation,,AERIAL OBSERVATION,,0.0,0.0,0.0,2.0,VMC,TAKEOFF,Probable Cause,28-12-2010,2.0,Small,0
20001211X13771,Accident,LAX94WA053,1993-11-13,"MULEGE, MEXICO",Mexico,,,,,PIPER PA-32R-300,Non-Fatal,SUBSTANTIAL,Airplane,N6879J,PIPER,PA-32R-300,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,1.0,3.0,1.0,VMC,NAN,Foreign,05-05-1994,5.0,Small,0
20001206X00618,Accident,FTW94FA060B,1994-01-02,"PEARLAND, TX",United States,,,T02,CLOVER FIELD,CESSNA 172N,Fatal(5),DESTROYED,Airplane,N739TL,CESSNA,172N,No,1.0,RECIPROCATING,Part 91: General Aviation,,INSTRUCTIONAL,,5.0,0.0,0.0,0.0,VMC,APPROACH,Probable Cause,12-04-2016,5.0,Small,1
20001206X02019,Accident,CHI94LA298,1994-08-25,"CENTRALIA, IL",United States,,,,,CESSNA 150,Non-Fatal,SUBSTANTIAL,Airplane,N6307S,CESSNA,150,No,1.0,RECIPROCATING,Part 91: General Aviation,,PERSONAL,,0.0,0.0,1.0,0.0,VMC,CRUISE,Probable Cause,02-05-2011,1.0,Small,0
20001206X01926,Accident,ANC94LA126,1994-08-31,"CAPE SABINE, AK",United States,,,Z53,CAPE SABINE,CESSNA 208,Non-Fatal,SUBSTANTIAL,Airplane,N9825F,CESSNA,208,No,1.0,TURBOPROP,Part 135: Air Taxi & Commuter,NSCH,UNKNOWN,,0.0,0.0,0.0,2.0,VMC,LANDING,Probable Cause,17-11-2009,2.0,Small,0
20001206X02310,Accident,LAX94WA373,1994-09-14,"PRINCE GEORGE, CANADA",Canada,,,,,PIPER PA-28-140,Non-Fatal,SUBSTANTIAL,Airplane,N1869J,PIPER,PA-28-140,No,,UNKNOWN,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,1.0,VMC,NAN,Foreign,06-10-1994,1.0,Small,0
20001206X02621,Accident,LAX95WA056,1994-11-18,"TRIPUI, MEXICO",Mexico,,,,,PIPER PA-32R-300,Non-Fatal,SUBSTANTIAL,Airplane,N71RJ,PIPER,PA-32R-300,No,,UNKNOWN,Part 91: General Aviation,,PERSONAL,,0.0,0.0,0.0,4.0,VMC,NAN,Foreign,22-12-1994,4.0,Small,0
